"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025","T026","T027","T028","T029","T030","T031","T032","T033","T034","T035","T036","T037","T038","T039","T040","T041","T042","T043","T044","T045","T046","T047","T048","T049","T050","T051","T052","T053","T054","T055","T056","T057","T058","T059","T060"
847.903816793893,799.024427480916,799.097709923664,798.285496183206,794.854961832061,797.254961832061,797.563358778626,798.019847328244,796.55572519084,797.079389312977,790.832061068702,792.900763358779,797.161832061069,797.468702290076,796.47786259542,798.887022900763,796.671755725191,801.135877862595,797.803053435115,800.116030534351,798.621374045802,798.24427480916,797.453435114504,797.451908396947,795.221374045802,795.422900763359,793.865648854962,798.645801526718,797.346564885496,794.758778625954,795.670229007634,793.807633587786,797.250381679389,797.145038167939,797.068702290076,799.311450381679,797.27786259542,800.523664122137,798.17251908397,797.103816793893,792.476335877863,790.699236641221,792.754198473282,793.629007633588,796.551145038168,797.103816793893,796.821374045802,801.451908396947,798.259541984733,797.691603053435,795.116030534351,798.051908396947,796.986259541985,797.389312977099,792.474809160305,796.297709923664,792.496183206107,795.691603053435,793.864122137405,794.928244274809
937.605752961083,901.52538071066,900.340947546531,897.334179357022,894.598984771574,899.359560067682,898.013536379019,901.249576988156,894.786802030457,892.247884940778,890.390862944162,894.858714043993,894.788494077834,894.593908629442,895.228426395939,900.260575296108,899.328257191201,898.798646362098,898.060067681895,899.946700507614,899.403553299492,898.712351945854,899.004230118443,894.958544839256,894.34179357022,893.467005076142,896.691201353638,898.261421319797,896.787648054146,892.65820642978,889.88578680203,892.197123519459,896.648054145516,898.041455160744,896.235194585448,895.27834179357,899.082910321489,903.603214890017,897.642978003384,888.955160744501,888.78510998308,890.697969543147,891.25296108291,893.928087986464,893.229272419628,896.20219966159,897.148900169205,898.626903553299,899.429780033841,899.296108291032,898.916243654822,897.692893401015,897.138747884941,896.366328257191,894.186971235195,895.076988155668,895.871404399323,893.927241962775,893.108291032149,900.102368866328
592.957317073171,573.64837398374,566.45325203252,561.475609756098,562.343495934959,567.441056910569,568.526422764228,558.313008130081,558.058943089431,560.282520325203,555.731707317073,559.973577235772,562.65243902439,564.55081300813,564.802845528455,568.247967479675,568.516260162602,568.59756097561,562.658536585366,564.388211382114,571.030487804878,568.605691056911,567.951219512195,563.10162601626,559.540650406504,564.709349593496,565.595528455285,564.794715447154,567.743902439024,568.973577235772,566.491869918699,562.128048780488,565.567073170732,571.603658536585,563.353658536585,566.684959349593,569.107723577236,561.904471544715,571.626016260163,558.869918699187,560.483739837398,567.5,554.888211382114,560.384146341463,565.904471544715,569.565040650407,568.197154471545,565.790650406504,567.030487804878,555.758130081301,554.756097560976,558.485772357724,554.934959349593,561.455284552846,553.973577235772,557.857723577236,554.150406504065,555.34756097561,552.764227642276,553.20325203252
854.399672846238,811.61014176663,810.093784078517,810.092148309706,805.935114503817,810.008724100327,807.635768811341,810.498909487459,807.29280261723,804.937295528899,802.045801526718,807.176117775354,806.836968375136,808.039258451472,807.682115594329,808.179934569248,808.379498364231,810.99945474373,809.251908396947,808.176663031625,810.767175572519,806.877317339149,808.362595419847,805.393129770992,806.149400218103,808.177208287895,804.931842966194,808.266630316249,807.019629225736,801.579062159215,803.923664122137,806.944929116685,804.88985823337,806.923664122137,808.516902944384,808.835877862595,807.249182115594,818.563794983642,807.992911668484,806.261177753544,802.868593238822,804.769901853871,803.357688113413,808.519083969466,808.177208287895,807.645038167939,810.405670665213,810.912213740458,810.521264994547,806.124863685932,805.24372955289,807.523446019629,808.138495092694,803.327699018539,801.258996728462,804.550708833152,803.298800436205,806.376772082879,802.448745910578,810.595419847328
578.85497470489,543.865654862282,539.437886453063,539.263069139966,537.707700955593,541.75604272063,536.496908375492,539.934232715008,534.982012366498,528.980888139404,528.843170320405,529.663293985385,534.630691399663,537.956155143339,538.78527262507,541.010118043845,541.329960652052,541.713322091062,539.721753794266,533.818999437886,540.258010118044,535.297920179876,542.186059584036,538.657110736369,536.663856098932,531.150084317032,532.322653175942,535.101180438449,537.902192242833,536.362563237774,535.003372681282,533.40921866217,532.155705452501,537.578976953345,536.394041596402,537.665542439573,541.402473299607,540.301292861158,537.535132096684,527.001686340641,529.539629005059,533.784148397976,531.244519392917,535.208544125913,536.926925238898,539.14502529511,540.116919617763,541.565486228218,541.04215851602,533.086003372681,536.329398538505,530.329960652052,534.929173693086,530.886453063519,529.32658797077,532.741427768409,532.390106801574,532.103991006183,530.576728499157,538.003372681282
481.755059021922,460.428892636313,457.289207419899,457.748735244519,455.040331646993,459.584598088814,456.931422147274,452.006745362563,452.58347386172,450.104834176504,448.362001124227,451.22287802136,454.684654300169,455.569139966273,456.615654862282,457.518128161889,457.991006183249,459.27107925801,457.626194491287,457.668212478921,458.08305227656,457.593591905565,459.728358628443,456.939151208544,456.235244519393,456.313378302417,455.045250140528,456.496346261945,455.56197301855,452.526700393479,455.020095559303,453.599634626194,453.38813940416,457.364811691962,454.409359190556,458.189853850478,459.566750983699,453.193226531759,454.990725126476,450.988195615514,448.467678471051,452.129286115795,449.709949409781,453.687745924677,456.310146149522,457.783305227656,456.276981450253,458.55550871276,459.243816750984,457.714446318156,458.847948285554,456.434092186622,456.850056211355,456.308600337268,455.757448004497,457.846683530073,453.716835300731,456.120994940978,453.276278808319,457.232012366498
779.110964332893,714.088507265522,714.758256274769,712.298546895641,708.125495376486,710.409511228534,709.675033025099,712.414795244386,704.099075297226,701.661822985469,701.420079260238,703.416116248349,706.188903566711,710.912813738441,713.566710700132,711.513870541612,708.974900924703,713.208718626156,712.005284015852,713.264200792602,710.129458388375,705.660501981506,709.457067371202,707.532364597094,706.207397622193,702.216644649934,705.752972258917,708.894319682959,704.033025099075,705.808454425363,699.887714663144,707.034346103038,702.417437252312,706.05284015852,706.496697490093,709.130779392338,706.221928665786,713.184940554822,703.86393659181,702.517833553501,696.849405548217,698.303830911493,698.861294583884,702.936591809775,704.656538969617,703.029062087186,706.689564068692,708.892998678996,708.935270805812,702.21928665786,702.937912813738,703.747688243065,703.361955085865,698.347424042272,697.892998678996,698.443857331572,695.420079260238,697.331571994716,696.450462351387,704.376486129458
669.111111111111,587.975903614458,587.239625167336,589.809906291834,583.373493975904,589.895582329317,584.156626506024,580.0093708166,580.005354752343,574.757697456493,574.738955823293,574.609103078983,580.461847389558,583.219544846051,584.364123159304,581.528781793842,583.435073627845,587.202141900937,586.194109772423,587.63453815261,584.958500669344,581.030789825971,586.821954484605,584.777777777778,585.164658634538,577.808567603748,576.982597054886,580.9812583668,579.91030789826,575.894243641232,579.661311914324,577.255689424364,571.429718875502,578.004016064257,575.329317269076,582.601070950469,581.536813922356,567.473895582329,574.942436412316,572.171352074967,566.796519410977,565.24765729585,567.791164658635,572.187416331995,576.137884872825,575.406961178046,577.192771084337,579.013386880857,577.578313253012,570.123159303882,574.192771084337,573.151271753681,571.452476572959,566.203480589023,567.349397590361,567.472556894244,562.800535475234,565.834002677376,563.037483266399,569.065595716198
742.232030264817,711.638083228247,711.84867591425,710.699873896595,707.736443883985,708.929382093317,708.820933165195,712.803278688525,707.66078184111,705.446406052963,704.520807061791,708.459016393443,709.128625472888,708.001261034048,708.53972257251,711.554854981085,710.542244640605,711.253467843632,710.017654476671,710.247162673392,710.877679697352,710.147540983607,707.441361916772,708.249684741488,706.271122320303,706.051702395965,708.698612862547,710.761664564943,709.944514501892,705.523329129887,702.313997477932,707.239596469105,709.846153846154,708.055485498108,708.53341740227,708.387137452711,709.760403530895,714.518284993695,708.820933165195,703.718789407314,702.923076923077,704.727616645649,706.39974779319,708.361916771753,706.076923076923,706.934426229508,707.501891551072,711.41235813367,711.1815889029,709.9394703657,710.03656998739,709.110970996217,710.846153846154,708.175283732661,707.540983606557,708.489281210593,708.708701134931,708.296343001261,707.923076923077,711.427490542245
598.736395092796,552.099716892104,550.837684806543,550.953759043724,549.336269267065,553.497326203209,551.613085876062,546.464296948726,547.869455803712,543.639194715319,541.66278703995,545.632274300094,546.567474048443,546.035860333438,548.867253853413,553.395407360805,548.112928593897,550.429065743945,549.817552689525,551.180559924505,552.391632588864,551.936458005662,553.966656181189,549.304812834225,549.472790185593,549.229946524064,550.334381881095,543.459893048128,546.871028625354,545.379364580057,544.517772884555,539.669078326518,546.307014784523,549.77319911922,546.490720352312,549.057879836427,550.111670336584,544.795533186537,542.761560239069,540.65869770368,534.874803397295,540.936458005662,538.287826360491,541.979238754325,544.935514312677,546.865366467443,544.502359232463,546.522491349481,548.16955017301,543.774771940862,545.47530670022,544.627555835168,543.024536017616,543.585404215162,543.783265177729,543.668134633533,539.854671280277,541.652091852784,539.012897137465,543.069204152249
