"","l-caud","L-cinga","L-fmedc","l-operc","L-forbc","L-front","l-inffrontgop","l-inffrontgtri","l-juxlob","l-mfg","l-parcing","L-prefront","-subcall","l-sfg","l-ins","l-cun","l-calc","l-latocinf","L-ling","L-occfus","L-occp","L-ang","L-cingpost","L-latoccsup","L-postcent","L-precun","L-supparl","L-supmargga","L-supmarggp","l-lent","l-stg","l-itg","l-itgtempoc","l-amig","l-hip","l-mtgant","l-mtgpost","l-mtgtempoc","l-parhipc","l-plan","l-tfus","l-tofus","l-tempp","l-thal","l-caud","r-cinga","r-fmedc","r-operc","r-forbc","r-front","r-inffrontgop","r-inffrontgtri","r-juxlob","r-mfg","r-parcing","r-prefront","r-subcall","r-sfg","r-ins","r-cun","r-calc","r-latocinf","r-ling","r-occfus","r-occp","r-ang","r-cingpost","r-latoccsup","r-postcent","r-precun","r-supparl","r-smargant","r-smargpost","r-lent","r-stg","r-itg","r-itgtempoc","r-mtgant","r-mtgpost","r-mtgtempoc","r-parhipc","r-plan","r-amig","r-hip","r-tfus","r-tofus","r-tempp","r-thal"
"T004",798.285496183206,897.334179357022,561.475609756098,810.092148309706,539.263069139966,457.748735244519,712.298546895641,589.809906291834,710.699873896595,550.953759043724,892.554175293306,412.147343514734,572.031561461794,725.219090326714,836.166921898928,835.727121464226,937.392246294185,850.928319030793,827.865022712524,790.7583081571,461.442159383033,876.308227114716,922.411870503597,426.418857481716,334.519572953737,771.870048130322,375.14552238806,654.112825458052,808.38468013468,658.57422758101,800.500479386385,448.712239583333,817.710562414266,414.453674121406,696.72149122807,673.601789709172,811.768525052929,955.240362811791,511.719565217391,886.993890020367,513.054095826893,833.210365853659,510.676814011676,940.629587155963,1037.65724815725,1009.72508398656,582.234079173838,786.165512901196,523.915106117353,701.972825412582,801.314787701318,665.608403361345,694.780726256983,615.629603891591,1062.11782032401,542.173208580557,450.141135972461,784.978282999661,828.002561912895,909.643524699599,959.105150214592,897.935938209905,829.526684636119,778.539766702015,466.696027633851,960.948524365134,876.989803350328,554.684563758389,500.716231884058,782.135712010194,621.044126416219,760.337587006961,855.773431132844,657.057228915663,731.600594648167,280.675123326286,588.6775,542.995133819951,701.607843137255,948.828481510622,392.960215053763,908.604267701261,263.751898734177,665.670378619154,384.719160104987,705.751329787234,460.27478403949,930.905855338691
"T005",794.854961832061,894.598984771574,562.343495934959,805.935114503817,537.707700955593,455.040331646993,708.125495376486,583.373493975904,707.736443883985,549.336269267065,891.32022084196,410.320068832007,567.200996677741,725.779628443306,832.194486983155,827.620632279534,931.568985176739,841.840484603735,821.74561972745,785.431017119839,455.657776349614,874.550405561993,920.514388489209,424.284048230876,332.749618708693,763.967789707516,372.814054726368,650.68756027001,804.444444444444,653.877920120573,794.15723873442,452.294270833333,810.699588477366,411.162939297125,696.021929824561,672.055928411633,813.781227946366,954.844671201814,511.988043478261,883.153767820774,515.423493044822,829.094512195122,513.229774812344,938.828555045872,1034.94717444717,1007.12597984323,582.573149741824,781.729389553178,523.356429463171,699.661620548455,803.161054172767,666.270588235294,691.082402234637,610.380472550382,1058.86524300442,538.30146052031,450.306368330465,782.769596199525,824.093082835184,899.427236315087,949.357296137339,892.311676510677,824.901347708895,774.519618239661,460.534715025907,952.238846945779,874.468317552804,548.5394788788,498.955652173913,777.27237973877,616.440071556351,755.699535962877,847.659331703342,654.676204819277,732.301288404361,281.786469344609,585.30875,546.69099756691,699.962962962963,939.918961447679,393.220430107527,906.810863239573,261.379746835443,665.672605790646,383.018372703412,703.827127659574,457.360345536816,926.405855338691
"T006",797.254961832061,899.359560067682,567.441056910569,810.008724100327,541.75604272063,459.584598088814,710.409511228534,589.895582329317,708.929382093317,553.497326203209,895.169082125604,411.275758227576,569.599667774086,728.725176169122,832.487748851455,836.442595673877,936.669327251995,848.960625946492,823.906554185594,785.370594159114,459.936053984576,875.538818076477,926.515287769784,425.569480134414,333.654295882054,771.943724546464,373.19092039801,651.358727097396,808.590067340067,658.336850037679,796.774688398849,454.497395833333,815.028806584362,414.38338658147,697.345394736842,673.199105145414,814.615384615385,957.320861678005,512.061956521739,884.743380855397,515.336939721793,832.080792682927,518.874478732277,940.845756880734,1036.9742014742,1010.68421052632,592.330464716007,783.826305852738,526.150436953808,705.614592381189,799.664714494876,668.568067226891,691.075418994413,614.781097984712,1068.92783505155,540.950935645824,450.728055077453,786.577197149644,826.147736976943,906.990654205607,957.204935622318,895.843707405725,827.402156334232,775.571580063627,461.917443868739,962.646533973919,880.857246904588,551.895578365574,500.01652173913,782.82446639057,618.066785927251,756.501160092807,853.254278728606,658.265813253012,731.516352824579,286.261451726568,587.21,551.238442822384,702.245461147422,949.168371361133,397.836559139785,905.723569350145,263.551898734177,667.101336302895,384.767279090114,704.156914893617,461.836692719046,929.838691159587
"T007",797.563358778626,898.013536379019,568.526422764228,807.635768811341,536.496908375492,456.931422147274,709.675033025099,584.156626506024,708.820933165195,551.613085876062,893.868184955141,411.933964293396,570.681063122924,724.562459961563,831.875191424196,832.159733777038,935.27023945268,847.594649167087,825.229720960415,783.801611278953,457.819730077121,874.500579374276,923.724820143885,424.419845819332,333.402389425521,770.561643835616,373.80907960199,650.636451301832,804.825757575758,657.6284853052,794.107382550336,452.51171875,813.76817558299,413.744408945687,694.416666666667,669.673378076063,814.254057868737,954.365079365079,506.46847826087,881.41649694501,513.042503863988,831.731707317073,514.970809007506,940.104357798165,1036.30835380835,1011.36562150056,594.230636833046,781.867841409692,524.981897627965,704.073210075692,798.339677891654,666.159663865546,691.867318435754,615.314107018763,1068.47790868925,539.823824737563,447.177280550775,786.244994910078,823.888129803587,909.012016021362,956.033261802575,895.241708314403,825.573045822102,776.29586426299,459.843868739206,958.315030885381,880.286234522942,551.485984998026,500.361449275362,781.920038228735,619.332737030411,753.872389791183,852.626731866341,656.237198795181,731.014866204163,282.854827343199,587.23625,551.890510948905,700.567175018155,948.763965381589,396.297849462366,903.376333656644,264.296202531646,664.476614699332,384.571303587052,704.982712765957,460.665158371041,926.642365097589
"T008",798.019847328244,901.249576988156,558.313008130081,810.498909487459,539.934232715008,452.006745362563,712.414795244386,580.0093708166,712.803278688525,546.464296948726,895.55900621118,411.886427188643,569.794019933555,722.143818065343,836.894333843798,835.472545757072,940.645381984036,846.942453306411,833.264763140818,785.346424974824,459.406491002571,867.05909617613,930.584532374101,425.85906305594,332.355871886121,775.034061458719,374.044776119403,650.361620057859,802.165824915825,659.821401657875,800.982742090125,457.992838541667,819.211248285322,415.143769968051,702.371710526316,684.771812080537,818.076217360621,955.15306122449,519.719565217391,887.414460285132,528.330757341576,839.408536585366,514.909924937448,948.498853211009,1039.77272727273,1014.97816349384,572.087779690189,787.351793580869,525.574906367041,700.575009306366,800.314787701318,669.161344537815,697.103351955307,612.678248783878,1065.64874815906,541.944089456869,450.641996557659,786.709535120462,829.756618274979,908.594125500668,960.159871244635,895.422080872331,840.067385444744,781.67868504772,459.697754749568,951.148936170213,883.951930080117,552.110738255034,502.546666666667,784.581713921631,621.984496124031,759.822505800464,857.21434392828,660.634789156627,735.910802775025,289.130373502467,596.0425,554.182481751825,706.443718228032,958.815106215578,399.835483870968,915.384093113482,258.017721518987,671.580178173719,399.311461067367,724.497340425532,462.187988482106,936.837543053961
"T009",796.55572519084,894.786802030457,558.058943089431,807.29280261723,534.982012366498,452.58347386172,704.099075297226,580.005354752343,707.66078184111,547.869455803712,892.659765355418,410.560980856098,560.279069767442,720.066623959001,833.482388973966,833.311148086523,935.858608893957,841.610802624937,826.537313432836,782.067472306143,453.191838046272,876.154113557358,920.654676258993,427.039928839692,331.434417895272,769.306553128471,374.248756218905,650.506268081003,806.117003367003,657.66013564431,796.13518696069,455.361979166667,813.267489711934,416.376996805112,699.583333333333,669.154362416107,814.887085391673,956.321995464853,510.172826086957,884.422606924644,515.653013910356,830.329268292683,514.666388657214,941.783256880734,1035.77027027027,1008.95184770437,578.769363166954,781.406544996853,522.868289637953,698.569053232411,803.994143484627,664.033613445378,692.178770949721,613.098332175122,1062.36156111929,538.984938384299,440.012048192771,781.693247370207,823.446626814688,908.182910547397,956.886266094421,891.909132212631,828.767115902965,776.954400848356,459.678756476684,955.537405628003,878.509832483613,550.161271219897,498.667246376812,780.599235425295,617.392963625522,754.728538283063,852.678891605542,655.809487951807,733.06739345887,281.99859055673,592.055,552.075425790754,701.923747276688,950.667191188041,398.901075268817,904.90009699321,263.59746835443,664.395322939866,385.306211723535,708.553191489362,459.515837104072,927.62456946039
"T010",797.079389312977,892.247884940778,560.282520325203,804.937295528899,528.980888139404,450.104834176504,701.661822985469,574.757697456493,705.446406052963,543.639194715319,889.700483091787,408.511507851151,568.176079734219,718.747277386291,830.426493108729,822.988352745424,933.269099201824,844.676426047451,826.74367293965,787.472306143001,455.633354755784,867.74044032445,918.790467625899,422.343941490413,331.370869344179,766.211032950759,371.490049751244,643.277724204436,793.979797979798,655.818387339864,787.65196548418,446.28125,812.744855967078,411.434504792332,695.922149122807,663.295302013423,800.928016937191,950.933106575964,512.698913043478,879.073319755601,514.462905718702,835.975609756098,503.239366138449,939.185206422018,1040.61056511057,1004.18197088466,577.998278829604,782.714285714286,520.179151061174,696.929147536915,794.651537335286,658.83025210084,687.761173184358,609.845031271716,1056.30412371134,537.99703331812,454.781411359725,779.209704784527,823.542271562767,902.77303070761,953.832618025751,891.15129486597,830.942857142857,775.723223753977,458.443523316062,954.542896362388,875.006554989075,548.00493485985,496.763188405797,779.560050971647,616.025044722719,749.083526682135,847.431132844336,655.985692771084,727.650148662042,275.136715997181,590.30375,536.379562043796,697.461147421932,946.560975609756,394.143010752688,904.694471387003,260.055696202532,666.77728285078,382.01312335958,708.027925531915,450.452488687783,929.989667049369
"T011",790.832061068702,890.390862944162,555.731707317073,802.045801526718,528.843170320405,448.362001124227,701.420079260238,574.738955823293,704.520807061791,541.66278703995,885.965493443754,407.584856958486,560.297342192691,715.292440743113,826.549770290965,817.467554076539,923.630558722919,836.147905098435,813.231667748216,773.595166163142,453.910025706941,865.053302433372,911.862410071942,420.898991895632,329.166751398068,749.835986671603,369.929726368159,643.791706846673,790.792087542088,653.190655614167,785.627037392138,447.791666666667,808.646090534979,408.345047923323,690.321271929825,661.161073825503,801.7932251235,945.671201814059,505.15,875.109979633401,510.928129829985,828.515243902439,511.708507089241,933.48623853211,1034.14742014742,1000.35778275476,579.010327022375,774.776589049717,519.503745318352,690.916987219258,788.796486090776,657.300840336134,686.769553072626,605.706393328701,1052.37113402062,534.822911912369,442.421686746988,774.264336613505,818.617421007686,893.600801068091,944.844420600858,883.777373920945,814.841509433962,769.24920466596,453.928151986183,949.862045298559,868.838310269483,541.624950651401,495.422028985507,768.020070086015,612.686940966011,750.678654292343,844.313773431133,652.243222891566,721.761149653122,278.14799154334,584.54625,542.729927007299,690.81626724764,932.820613690008,390.477419354839,897.37148399612,258.293670886076,660.093541202673,379.121609798775,705.772606382979,457.31550802139,921.671641791045
"T012",792.900763358779,894.858714043993,559.973577235772,807.176117775354,529.663293985385,451.22287802136,703.416116248349,574.609103078983,708.459016393443,545.632274300094,890.431331953071,410.081092708109,566.347176079734,720.346252402306,827.151607963247,824.344425956739,932.12086659065,841.531044926805,818.940298507463,778.544813695871,454.956298200514,873.056778679027,915.879496402878,423.22059695592,330.859938993391,756.358015549796,371.069651741294,650.379942140791,799.330808080808,652.926902788244,787.604026845638,450.990885416667,809.80658436214,411.757188498403,692.850877192982,662.950782997763,811.946365561044,946.556689342404,504.583695652174,876.605906313646,512.113601236476,828.268292682927,511.943703085905,934.955275229358,1032.95208845209,1007.42441209406,573.10843373494,783.485210824418,526.431335830212,697.965752574761,792.297218155198,664.509243697479,687.196927374302,610.857539958304,1056.81369661267,538.025559105431,445.746987951807,779.894129623346,824.462852263023,899.865153538051,949.968884120172,891.779645615629,819.969811320755,773.311770943796,457.130224525043,953.024021962938,873.774945375091,546.168969601263,497.886086956522,771.983115641924,615.837209302326,755.244779582367,850.291768541157,656.577560240964,732.500495540139,278.31148696265,588.62,549.206812652068,693.728395061728,935.301337529504,392.18064516129,904.738118331717,262.706329113924,664.592427616927,382.24321959755,699.365691489362,459.666392431098,924.286452353616
"T013",797.161832061069,894.788494077834,562.65243902439,806.836968375136,534.630691399663,454.684654300169,706.188903566711,580.461847389558,709.128625472888,546.567474048443,890.993098688751,410.649817164982,571.18438538206,721.261691223575,829.947166921899,831.232945091514,932.106043329533,844.87834427057,818.584685269306,781.215508559919,458.274742930591,872.942062572422,917.768884892086,423.615734334849,332.815455007626,761.511292114032,372.000621890547,650.187078109932,802.585858585859,655.909570459684,796.096836049856,451.957682291667,813.565157750343,411.709265175719,693.038377192982,669.885906040268,813.685250529287,954.952380952381,505.711956521739,882.088594704684,512.664605873261,828.506097560976,513.47789824854,938.711582568807,1036.11670761671,1008.36506159015,576.779690189329,781.624292007552,524.486267166042,700.910038466311,797.677891654466,664.127731092437,691.596368715084,613.130298818624,1062.13328424153,538.531492469192,448.456110154905,783.24669155073,824.35781383433,906.747663551402,952.778969957082,892.532030895048,821.684636118598,773.887592788971,461.824525043178,960.063143445436,875.182811361981,549.942360836952,498.788115942029,775.862695125836,616.836612999404,758.261020881671,855.677261613692,656.193524096386,731.475718533201,278.011275546159,589.49125,549.530413625304,700.297748729121,947.007081038552,391.756989247312,905.653734238603,259.159493670886,661.582405345212,381.325459317585,705.635638297872,461.999177293295,926.642939150402
